DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
243055,243055,Mk10,10:42:04 01-Aug-2023,Argos,B,41.5526,-69.5138,2179,11449,414,63,,,,,,
243055,243055,Mk10,13:09:56 01-Aug-2023,Argos,B,41.5357,-69.5006,2506,6823,920,72,,,,,,
243055,243055,Mk10,13:38:34 01-Aug-2023,Argos,B,41.5039,-69.5542,1944,3326,1136,93,,,,,,
243055,243055,Mk10,14:26:37 01-Aug-2023,Argos,B,41.5362,-69.5424,2060,3159,1342,83,,,,,,
243055,243055,Mk10,16:39:02 01-Aug-2023,Argos,B,41.5335,-69.5352,2465,3434,1769,93,,,,,,
243055,243055,Mk10,21:30:33 01-Aug-2023,Argos,B,41.7984,-69.5384,2598,12795,527,85,,,,,,
243055,243055,Mk10,21:41:59 01-Aug-2023,Argos,B,41.6450,-69.5261,3041,6000,1541,84,,,,,,
243055,243055,Mk10,22:59:05 01-Aug-2023,Argos,B,41.8464,-69.5947,3070,11057,852,83,,,,,,
243055,243055,Mk10,23:21:41 01-Aug-2023,Argos,B,41.8797,-69.5166,1824,27503,121,107,,,,,,
243055,243055,Mk10,00:11:46 02-Aug-2023,Argos,B,41.8918,-69.5143,2095,7396,593,107,,,,,,
243055,243055,Mk10,00:11:46 02-Aug-2023,Argos,B,41.8945,-69.5194,1941,6408,587,104,,,,,,
243055,243055,Mk10,02:26:51 02-Aug-2023,Argos,B,41.9129,-69.5673,1730,62619,47,90,,,,,,
243055,243055,Mk10,09:32:46 02-Aug-2023,Argos,B,42.0232,-69.6692,2913,4783,1773,77,,,,,,
243055,243055,Mk10,14:20:24 02-Aug-2023,Argos,B,41.8237,-69.6292,9157,21928,3823,106,,,,,,
243055,243055,Mk10,14:47:39 02-Aug-2023,Argos,B,41.8429,-69.6989,6283,13676,2886,106,,,,,,
243055,243055,Mk10,15:24:55 02-Aug-2023,Argos,B,41.8364,-69.7018,8655,20055,3735,103,,,,,,
243055,243055,Mk10,16:27:09 02-Aug-2023,Argos,0,41.8117,-69.9200,2179,2967,1599,93,,,,,,
243055,243055,Mk10,22:21:51 02-Aug-2023,Argos,B,41.6939,-70.3033,37153,69351,19903,78,,,,,,
243055,243055,Mk10,22:29:03 02-Aug-2023,Argos,B,41.6811,-70.3028,26495,96613,7266,80,,,,,,
243055,243055,Mk10,00:03:46 03-Aug-2023,Argos,B,41.6816,-70.4258,27385,73294,10232,80,,,,,,
243055,243055,Mk10,01:57:44 03-Aug-2023,Argos,B,41.6775,-70.5133,4930,22560,1077,81,,,,,,
243055,243055,Mk10,09:41:16 03-Aug-2023,Argos,B,41.8007,-71.1286,6860,45184,1041,73,,,,,,
243055,243055,Mk10,10:24:55 03-Aug-2023,Argos,B,42.0934,-70.5071,35444,133482,9411,87,,,,,,
243055,243055,Mk10,10:34:29 03-Aug-2023,Argos,A,42.1267,-70.3119,12177,89297,1660,102,,,,,,
243055,243055,Mk10,11:21:48 03-Aug-2023,Argos,B,42.1348,-70.3590,15603,46597,5224,100,,,,,,
243055,243055,Mk10,12:48:48 03-Aug-2023,Argos,B,42.1533,-70.5309,7393,25277,2162,51,,,,,,
243055,243055,Mk10,14:11:21 03-Aug-2023,Argos,A,42.2512,-70.2526,4395,92846,208,107,,,,,,
243055,243055,Mk10,14:11:21 03-Aug-2023,Argos,A,42.2563,-70.2652,1175,5483,251,98,,,,,,
243055,243055,Mk10,14:33:35 03-Aug-2023,Argos,B,42.2474,-70.2359,5919,27422,1277,31,,,,,,
243055,243055,Mk10,14:57:31 03-Aug-2023,Argos,B,42.2831,-70.2132,938,10686,82,72,,,,,,
243055,243055,Mk10,15:49:52 03-Aug-2023,Argos,A,42.2925,-70.3060,2279,7568,686,35,,,,,,
243055,243055,Mk10,16:19:54 03-Aug-2023,Argos,A,42.3155,-70.2944,928,8945,96,116,,,,,,
243055,243055,Mk10,16:22:47 03-Aug-2023,Argos,A,42.3198,-70.3317,469,1476,149,79,,,,,,
243055,243055,Mk10,17:57:25 03-Aug-2023,Argos,0,42.2992,-70.2147,24329,63201,9365,24,,,,,,
243055,243055,Mk10,17:57:45 03-Aug-2023,Argos,0,42.2533,-70.2536,6536,28586,1494,105,,,,,,
243055,243055,Mk10,21:53:49 03-Aug-2023,Argos,B,42.3158,-70.1723,32741,56214,19069,99,,,,,,
243055,243055,Mk10,23:56:41 03-Aug-2023,Argos,B,42.3850,-70.1570,31273,53184,18388,87,,,,,,
