DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
243062,243062,Mk10,23:16:45 14-Aug-2023,,,1,42.1248,-70.2684,CRC 27021.55496,23:16:45 14-Aug-2023,Fast-GPS,118,152,219,71,93,133,216,0,103,175,157,81,42,78,76,55,33,58,194,222,241,71,227,,,,,,,,,
243062,243062,Mk10,23:18:31 14-Aug-2023,,,1,42.1248,-70.2684,CRC 49732.22058,09:51:00 01-Aug-2023,Behavior,188,36,78,2,156,244,56,131,95,139,30,81,104,227,40,111,65,173,173,245,153,191,230,244,72,96,56,224,116,188,215,
243062,243062,Mk10,23:19:10 14-Aug-2023,,,1,42.1248,-70.2684,CRC 34441.58417,18:00:00 14-Aug-2023,TAD,24,104,158,29,33,122,214,165,42,212,165,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,01:33:20 15-Aug-2023,,,B,42.0896,-70.2882,CRC 481.25921,12:00:00 14-Aug-2023,DiveDuration,64,30,30,28,193,168,109,248,252,228,14,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,01:56:25 15-Aug-2023,,,B,42.0946,-70.2847,CRC 14519.62361,,TAD,19,139,123,107,66,205,229,45,235,161,165,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,02:38:49 15-Aug-2023,,,B,42.0746,-70.2824,CRC 62079.42083,07:00:00 14-Aug-2023,DiveDuration,79,39,254,28,112,62,156,0,15,23,240,58,144,135,91,45,91,79,152,,,,,,,,,,,,,
243062,243062,Mk10,02:48:30 15-Aug-2023,,,B,42.0574,-70.2814,CRC 16131.34662,,TAD,19,240,56,113,231,94,131,209,107,4,12,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,04:54:34 15-Aug-2023,,,B,42.0501,-70.2637,CRC 29512.40555,19:00:00 13-Aug-2023,DiveDepth,55,52,142,27,50,53,134,4,144,0,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,09:42:05 15-Aug-2023,,,B,42.0507,-70.1769,CRC 47337.26615,23:34:00 13-Aug-2023,Behavior,187,142,158,27,120,128,184,24,7,149,197,142,46,161,81,200,218,252,67,154,58,238,147,149,12,188,183,146,189,42,0,
243062,243062,Mk10,09:57:07 15-Aug-2023,,,0,42.0746,-70.2733,CRC 43562.29778,10:54:00 13-Aug-2023,Behavior,186,162,174,26,173,145,54,48,214,213,69,86,133,211,39,212,245,64,201,172,220,192,64,,,,,,,,,
