DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
CCS-0521,234800,Mk10,DS,6,0,2,119,15,11:39:58 01-Aug-2022,NK,1,41.0667,-70.8823,41.0667,-70.8823,47,,401677785,-130
CCS-0521,234800,Mk10,DS,5,0,2,100,16,11:48:58 01-Aug-2022,NP,0,41.0793,-70.9046,41.0793,-70.9046,46,,401677786,-121
CCS-0521,234800,Mk10,DS,4,0,1,113,16,13:18:47 01-Aug-2022,NK,0,41.0770,-70.7492,41.0770,-70.7492,47,,401677809,-133
CCS-0521,234800,Mk10,DS,4,0,1,163,20,13:32:25 01-Aug-2022,NP,0,41.0961,-70.9045,41.0961,-70.9045,46,,401677790,-120
CCS-0521,234800,Mk10,DS,4,0,2,157,17,13:59:44 01-Aug-2022,MC,1,41.0864,-70.8960,41.0864,-70.8960,46,,401677787,-114
CCS-0521,234800,Mk10,DS,2,0,2,229,229,14:47:52 01-Aug-2022,MB,B,41.0733,-70.8333,41.0733,-70.8333,8,,401677792,-133
CCS-0521,234800,Mk10,DS,1,0,1,,,15:01:14 01-Aug-2022,NK,B,41.0583,-70.6205,41.0583,-70.6205,7,,401677845,-137
CCS-0521,234800,Mk10,DS,5,0,3,96,15,15:04:59 01-Aug-2022,NN,0,41.0953,-70.8692,41.0953,-70.8692,46,,401677792,-117
CCS-0521,234800,Mk10,DS,3,0,1,108,55,15:41:43 01-Aug-2022,MC,A,41.0920,-70.9385,41.0920,-70.9385,8,,401677772,-121
CCS-0521,234800,Mk10,DS,3,0,1,264,246,16:50:45 01-Aug-2022,NN,A,41.0828,-70.8778,41.0828,-70.8778,7,,401677792,-127
CCS-0521,234800,Mk10,DS,4,0,3,146,20,23:01:59 01-Aug-2022,NK,0,41.1174,-70.9337,41.1174,-70.9337,58,,401677796,-135
CCS-0521,234800,Mk10,DS,2,0,0,47,47,23:15:44 01-Aug-2022,NP,B,41.0621,-70.5076,41.0621,-70.5076,8,,401677778,-132
CCS-0521,234800,Mk10,DS,3,0,2,277,44,23:16:08 01-Aug-2022,SR,A,41.1279,-70.8702,41.1279,-70.8702,6,,401677808,-132
CCS-0521,234800,Mk10,DS,2,0,1,44,44,23:24:59 01-Aug-2022,A1,B,41.1345,-70.8761,41.1345,-70.8761,6,,401677807,-127
CCS-0521,234800,Mk10,DS,1,0,1,,,00:29:14 02-Aug-2022,MB,B,41.1148,-70.8015,41.1148,-70.8015,8,,401677791,-134
CCS-0521,234800,Mk10,DS,3,0,1,257,42,00:39:34 02-Aug-2022,NK,A,41.1266,-71.0041,41.1266,-71.0041,6,,401677820,-135
CCS-0521,234800,Mk10,DS,1,0,1,,,01:22:52 02-Aug-2022,MC,B,41.1277,-70.8940,41.1277,-70.8940,8,,401677797,-118
CCS-0521,234800,Mk10,DS,1,0,1,,,03:11:29 02-Aug-2022,MC,B,41.1082,-70.8598,41.1082,-70.8598,8,,401677767,-131
CCS-0521,234800,Mk10,DS,1,0,0,,,08:58:39 02-Aug-2022,SR,B,41.1693,-71.0588,41.1693,-71.0588,8,,401677796,-138
CCS-0521,234800,Mk10,DS,1,0,1,,,10:06:00 02-Aug-2022,A1,B,41.1814,-71.0833,41.1814,-71.0833,8,,401677773,-137
CCS-0521,234800,Mk10,DS,4,0,3,66,18,10:34:19 02-Aug-2022,SR,1,41.0927,-71.2838,41.0927,-71.2838,46,,401677788,-135
CCS-0521,234800,Mk10,DS,1,0,1,,,11:17:57 02-Aug-2022,NK,B,41.0919,-71.2760,41.0919,-71.2760,8,,401677785,-135
CCS-0521,234800,Mk10,DS,1,0,1,,,11:36:19 02-Aug-2022,A1,B,41.0897,-71.2767,41.0897,-71.2767,6,,401677780,-139
CCS-0521,234800,Mk10,DS,5,0,2,123,74,11:39:28 02-Aug-2022,NP,1,41.0958,-71.3880,41.0958,-71.3880,46,,401677786,-132
CCS-0521,234800,Mk10,DS,3,0,1,206,203,13:01:34 02-Aug-2022,NK,A,41.1325,-71.3769,41.1325,-71.3769,8,,401677797,-121
CCS-0521,234800,Mk10,DS,3,0,1,113,38,13:25:25 02-Aug-2022,NP,A,41.0969,-71.3888,41.0969,-71.3888,6,,401677791,-128
CCS-0521,234800,Mk10,DS,5,0,5,160,15,13:38:54 02-Aug-2022,MC,0,41.1035,-71.3104,41.1035,-71.3104,46,,401677799,-122
CCS-0521,234800,Mk10,DS,6,0,2,63,14,14:34:37 02-Aug-2022,NK,0,41.0522,-71.1637,,,48,,401677808,-130
CCS-0521,234800,Mk10,DS,1,0,1,,,14:35:08 02-Aug-2022,MB,B,41.1153,-71.2993,41.1153,-71.2993,6,,401677787,-129
CCS-0521,234800,Mk10,DS,3,0,2,261,241,14:54:31 02-Aug-2022,NN,A,41.0764,-71.2698,41.0764,-71.2698,6,,401677798,-128
CCS-0521,234800,Mk10,DS,3,0,1,37,29,15:00:53 02-Aug-2022,NP,A,41.0786,-71.2648,41.0786,-71.2648,6,,401677791,-127
CCS-0521,234800,Mk10,DS,5,0,3,164,21,15:17:58 02-Aug-2022,MC,0,41.0809,-71.2932,41.0809,-71.2932,46,,401677777,-134
CCS-0521,234800,Mk10,DS,3,0,1,255,86,16:33:17 02-Aug-2022,NN,A,41.0777,-71.3183,41.0777,-71.3183,8,,401677787,-130
CCS-0521,234800,Mk10,DS,2,0,2,16,16,21:32:21 02-Aug-2022,A1,B,40.9583,-71.1260,40.9583,-71.1260,8,,401677801,-136
CCS-0521,234800,Mk10,DS,2,0,1,195,195,22:39:27 02-Aug-2022,NK,B,41.0289,-71.3180,41.0289,-71.3180,8,,401677735,-129
CCS-0521,234800,Mk10,DS,4,0,2,98,38,22:47:46 02-Aug-2022,SR,2,40.8907,-71.2498,40.8907,-71.2498,56,,401677808,-120
CCS-0521,234800,Mk10,DS,2,0,1,367,367,23:02:53 02-Aug-2022,A1,B,40.8907,-71.2496,40.8907,-71.2496,6,,401677835,-138
CCS-0521,234800,Mk10,DS,5,0,2,114,46,00:16:59 03-Aug-2022,NK,1,40.8619,-71.2314,40.8619,-71.2314,48,,401677805,-129
CCS-0521,234800,Mk10,DS,2,0,2,68,68,00:24:26 03-Aug-2022,SR,B,40.9091,-71.1949,40.9091,-71.1949,6,,401677829,-137
CCS-0521,234800,Mk10,DS,2,0,1,231,231,00:43:31 03-Aug-2022,NN,B,40.8783,-71.2472,40.8783,-71.2472,6,,401677812,-137
CCS-0521,234800,Mk10,DS,4,0,3,100,21,00:47:27 03-Aug-2022,NP,0,40.8545,-71.2747,40.8545,-71.2747,46,,401677809,-121
CCS-0521,234800,Mk10,DS,2,0,2,85,85,01:56:48 03-Aug-2022,MB,B,40.8763,-71.2818,40.8763,-71.2818,8,,401677808,-126
CCS-0521,234800,Mk10,DS,1,0,1,,,02:30:06 03-Aug-2022,NN,B,40.8698,-71.2551,40.8698,-71.2551,8,,401677803,-137
CCS-0521,234800,Mk10,DS,2,0,1,73,73,08:27:17 03-Aug-2022,SR,B,40.9158,-71.1611,,,8,,401677799,-132
CCS-0521,234800,Mk10,DS,3,0,3,136,107,09:46:56 03-Aug-2022,A1,A,40.9580,-71.0359,40.9580,-71.0359,8,,401677810,-123
CCS-0521,234800,Mk10,DS,5,0,2,101,36,10:04:52 03-Aug-2022,SR,0,40.9855,-71.0369,40.9855,-71.0369,46,,401677802,-125
CCS-0521,234800,Mk10,DS,1,0,1,,,10:51:04 03-Aug-2022,NK,B,40.9948,-71.0169,40.9948,-71.0169,8,,401677782,-137
CCS-0521,234800,Mk10,DS,4,0,2,142,30,12:29:09 03-Aug-2022,NK,0,41.0657,-70.7926,41.0657,-70.7926,48,,401677783,-121
CCS-0521,234800,Mk10,DS,5,0,2,100,15,13:11:46 03-Aug-2022,NP,0,41.1133,-70.7936,41.1133,-70.7936,46,,401677802,-124
CCS-0521,234800,Mk10,DS,2,0,1,303,303,13:21:22 03-Aug-2022,MC,B,41.1255,-70.8449,41.1255,-70.8449,6,,401677792,-127
CCS-0521,234800,Mk10,DS,1,0,0,,,14:10:42 03-Aug-2022,NK,B,41.0908,-70.7096,41.0908,-70.7096,7,,401677819,-125
